Mrk 463         , a ,13 ,56, 02.87, +18, 22, 19.5, 11.2,  226,  4,  7, 1342249047, 1342236151  
M101_02         ,   ,14 ,03, 41.36, +54, 19, 04.9, 10.1,    8,  2, 10, 1342230417, 1342188750  
OQ 208          , a ,14 ,07, 00.39, +28, 27, 14.7,     ,  348,  3,  6, 1342247769, 1342234785  
NGC5653         ,   ,14 ,30, 09.88, +31, 12, 56.3, 10.8,   55,  5,  8, 1342247565, 1342236146  
IRAS 14348-1447 ,   ,14 ,37, 38.26, -15, 00, 24.6, 12.1,  371,  8,  3, 1342249457, 1342238301  
NGC5713         ,   ,14 ,40, 11.50, -00, 17, 20.0, 10.5,   29,  8,  5, 1342248250, 1342189520  
IRAS 14378-3651 ,   ,14 ,40, 59.01, -37, 04, 32.0, 11.9,  303, 10,  1, 1342227456, 1342238295  
Mrk 478         , a ,14 ,42, 07.46, +35, 26, 22.9, 11.1,  358,  0,  9, 1342238710, 1342238333  
NGC5734a        ,   ,14 ,45, 08.98, -20, 52, 13.4, 10.7,   59,  3, 10, 1342248417, 1342227731  
3C 305          , a ,14 ,49, 21.80, +63, 16, 15.3,     ,  187,  1,  4, 1342236998, 1342234915  
VV340a          , a ,14 ,57, 00.66, +24, 37, 05.1,     ,  145,  6,  5, 1342238241, 1342234779  
IC4518ABa       ,   ,14 ,57, 41.15, -43, 07, 56.2,     ,   68,  7,  4, 1342250514, 1342239895  
NGC5866         , a ,15 ,06, 29.50, +55, 45, 47.6,  9.4,   14,  7,  4, 1342238708, 1342188749  
CGCG049-057     ,   ,15 ,13, 13.09, +07, 13, 31.8, 11.1,   59, 11,  2, 1342212346, 1342203077  
3C 315          ,   ,15 ,13, 40.08, +26, 07, 31.2,     ,  498,  0,  4, 1342239350, 1342234777  
VV705           , a ,15 ,18, 06.13, +42, 44, 44.5,     ,  181, 10,  2, 1342238712, 1342229532  
ESO099-G004     ,   ,15 ,24, 57.99, -63, 07, 30.2, 11.4,  125, 10,  2, 1342230419, 1342229209  
IRAS 15250+3609 ,   ,15 ,26, 59.40, +35, 58, 37.5, 11.8,  248,  2,  9, 1342238711, 1342234775  
NGC5936         ,   ,15 ,30, 00.80, +12, 59, 21.7, 10.8,   61,  6,  5, 1342249046, 1342238324  
Arp220          ,   ,15 ,34, 57.12, +23, 30, 11.5, 12.0,   81, 11,  2, 1342190674, 1342188687  
NGC5990         ,   ,15 ,46, 16.40, +02, 24, 54.7, 10.7,   57,  6,  7, 1342240016, 1342238312  
IRAS 15462-0450 ,   ,15 ,48, 56.81, -04, 59, 33.6, 12.0,  456,  3,  7, 1342249045, 1342238307  
3C 326          ,   ,15 ,52, 09.07, +20, 05, 48.4,     ,  407,  0,  7, 1342250516, 1342238327  
PKS 1549-79     ,   ,15 ,56, 58.87, -79, 14, 04.3,     ,  690,  0,  8, 1342253671, 1342239890  
NGC6052         ,   ,16 ,05, 12.94, +20, 32, 36.9, 10.8,   71,  6,  6, 1342212347, 1342229560  
IRAS 16090-0139 ,   ,16 ,11, 40.48, -01, 47, 05.6, 12.3,  618,  6,  4, 1342238699, 1342229565  
PG 1613+658     ,   ,16 ,13, 57.18, +65, 43, 09.6, 11.5,  600,  0,  8, 1342242593, 1342238336  
CGCG052-037     ,   ,16 ,30, 56.60, +04, 04, 58.3, 11.1,  109,  8,  2, 1342251284, 1342229572  
NGC6156         ,   ,16 ,34, 52.50, -60, 37, 07.7, 10.8,   45,  8,  4, 1342231041, 1342229213  
